=========================================================
             VOLCADO DE CACHÉ DE TIA PORTAL              
=========================================================
Fecha de volcado: 10/03/2026 15:40:41
PLC: PLC_C9_ED11
Total Bloques: 651
=========================================================

[Nombre] _borrar                             | [Num] 4     | [Tipo API] GlobalDB     | [Ruta] Root
[Nombre] DB4065_PREAL                        | [Num] 4065  | [Tipo API] GlobalDB     | [Ruta] 1065_EnvioMixEnvasado\4065_Parametros
[Nombre] DB4066_PINT                         | [Num] 4066  | [Tipo API] GlobalDB     | [Ruta] 1065_EnvioMixEnvasado\4065_Parametros
[Nombre] DB4070_PREAL                        | [Num] 4070  | [Tipo API] GlobalDB     | [Ruta] 1070_RecuperacionCalor\4070_Parametros
[Nombre] DB4071_PINT                         | [Num] 4071  | [Tipo API] GlobalDB     | [Ruta] 1070_RecuperacionCalor\4070_Parametros
[Nombre] DB4080_PREAL                        | [Num] 4080  | [Tipo API] GlobalDB     | [Ruta] 1080_EnvioTqMovilPasto\4080_Parametros
[Nombre] DB4081_PINT                         | [Num] 4081  | [Tipo API] GlobalDB     | [Ruta] 1080_EnvioTqMovilPasto\4080_Parametros
[Nombre] DB4085_PREAL                        | [Num] 4085  | [Tipo API] GlobalDB     | [Ruta] 1085_EnvioFermentadores\4085_Parametros
[Nombre] DB4086_PINT                         | [Num] 4086  | [Tipo API] GlobalDB     | [Ruta] 1085_EnvioFermentadores\4085_Parametros
[Nombre] DB4090_PREAL                        | [Num] 4090  | [Tipo API] GlobalDB     | [Ruta] 1090_EnvioFermentadoresWaldner\4090_Parametros
[Nombre] DB4091_PINT                         | [Num] 4091  | [Tipo API] GlobalDB     | [Ruta] 1090_EnvioFermentadoresWaldner\4090_Parametros
[Nombre] DB4095_PREAL                        | [Num] 4095  | [Tipo API] GlobalDB     | [Ruta] 1095_EnvioEsterilizador\4095_Parametros
[Nombre] DB4096_PINT                         | [Num] 4096  | [Tipo API] GlobalDB     | [Ruta] 1095_EnvioEsterilizador\4095_Parametros
[Nombre] DB4400_PREAL                        | [Num] 4400  | [Tipo API] GlobalDB     | [Ruta] 1400_Produccion_Z1\4400_Parametros
[Nombre] DB4401_PINT                         | [Num] 4401  | [Tipo API] GlobalDB     | [Ruta] 1400_Produccion_Z1\4400_Parametros
[Nombre] DB4410_PREAL                        | [Num] 4410  | [Tipo API] GlobalDB     | [Ruta] 1410_Produccion_Z2\4410_Parametros
[Nombre] DB4411_PINT                         | [Num] 4411  | [Tipo API] GlobalDB     | [Ruta] 1410_Produccion_Z2\4410_Parametros
[Nombre] DB4420_PREAL                        | [Num] 4420  | [Tipo API] GlobalDB     | [Ruta] 1420_Produccion_Pectina_Z2\4420_Parametros
[Nombre] DB4421_PINT                         | [Num] 4421  | [Tipo API] GlobalDB     | [Ruta] 1420_Produccion_Pectina_Z2\4420_Parametros
[Nombre] DB4510_PREAL                        | [Num] 4510  | [Tipo API] GlobalDB     | [Ruta] 1510_AireEsteril_&_PWG\4510_Parametros
[Nombre] DB4511_PINT                         | [Num] 4511  | [Tipo API] GlobalDB     | [Ruta] 1510_AireEsteril_&_PWG\4510_Parametros
[Nombre] DB4530_PREAL                        | [Num] 4530  | [Tipo API] GlobalDB     | [Ruta] 1530_GestionCamisas\4530_Parametros
[Nombre] DB4531_PINT                         | [Num] 4531  | [Tipo API] GlobalDB     | [Ruta] 1530_GestionCamisas\4530_Parametros
[Nombre] DB4600_PREAL                        | [Num] 4600  | [Tipo API] GlobalDB     | [Ruta] 1600_Fermentador401\4600_Parametros
