=========================================================
             VOLCADO DE CACHÉ DE TIA PORTAL              
=========================================================
Fecha de volcado: 28/03/2026 10:37:25
PLC: ZC_PLC_STD
Total Bloques: 150 | Total Tablas: 8 | Total UDTs: 91
=========================================================

=== BLOQUES (OB/FC/FB/DB) ===
[Nombre] _borrar                             | [Num] 59998 | [Tipo API] GlobalDB     | [Ruta] Root
[Nombre] OB86_RackOrStationFailure           | [Num] 86    | [Tipo API] OB           | [Ruta] 0_Sistema

=== TABLAS DE VARIABLES ===
[Nombre] 000_Config_Dispositivos             | [Ruta] 000_Sistema
[Nombre] 000_Config_Generales                | [Ruta] 000_Sistema
[Nombre] 000_Productos                       | [Ruta] 000_Sistema
[Nombre] 000_Traza_Categorias                | [Ruta] 000_Sistema
[Nombre] 000_Traza_Codigos                   | [Ruta] 000_Sistema
[Nombre] 002_Disp_ED                         | [Ruta] 2000_Dispositivos
[Nombre] 100_Proceso                         | [Ruta] 003_Procesos
[Nombre] Tabla de variables estándar         | [Ruta] Variables de PLC

=== TIPOS DE DATOS DE USUARIO (UDT) ===
[Nombre] UDT_ZC_ALARMA                       | [Ruta] 1_Documentado
[Nombre] UDT_ZC_CIP_CHEQUEO_RUTA             | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_CIP_INF                      | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_CIP_RECETA                   | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_CIP_RECETA_ACIDO_ENJ         | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_CIP_RECETA_ACIDO_LIMP        | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_CIP_RECETA_COMUNES           | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_CIP_RECETA_DESINF_ENJ        | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_CIP_RECETA_DESINF_LIMP       | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_CIP_RECETA_ESTERIL           | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_CIP_RECETA_HOMOG             | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_CIP_RECETA_RECHAZOS          | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_CIP_RECETA_SOLO_ENJ          | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_CIP_RECETA_SOSA_ENJ          | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_CIP_RECETA_SOSA_LIMP         | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_COM_BOOL                     | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_COM_INT                      | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_COM_REAL                     | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_CONTADOR_MINUTOS             | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_CONTADOR_TIEMPO              | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_CONTADORES_PRODUCCION        | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_CONTROL_PRESION              | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_CPR_ACUM                     | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_AGRUP                   | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_EA                      | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_ED                      | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_FF                      | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_FF_PARO                 | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_DISP_FF_SEC                  | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_HMI_L                   | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_HMI_S                   | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_M                       | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_M_SINA                  | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_M_VF                    | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_MEDIA                   | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_MEDIA_VOLUMEN           | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_MUX_EA                  | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_MUX_ED                  | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_MUX_M                   | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_MUX_M_SINA              | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_MUX_M_VF                | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_MUX_PID                 | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_MUX_SA                  | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_MUX_SD                  | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_MUX_TOT                 | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_MUX_TQ                  | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_MUX_TQ_AE               | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_MUX_V                   | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_PID                     | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_PPAL_EA                 | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_PPAL_ED                 | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_PPAL_M                  | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_PPAL_M_VF               | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_PPAL_PID                | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_PPAL_SA                 | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_PPAL_TOT                | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_PPAL_V                  | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_SA                      | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_SD                      | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_TOF                     | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_TON                     | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_TONR                    | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_TOT                     | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_TP                      | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_TQ                      | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_TQ_AE                   | [Ruta] 1_Documentado
[Nombre] UDT_ZC_DISP_V                       | [Ruta] 1_Documentado
[Nombre] UDT_ZC_FECHA                        | [Ruta] 1_Documentado
[Nombre] UDT_ZC_INF_CHEQUEO                  | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_INF_CPR_PROD                 | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_INF_DATOS                    | [Ruta] 3_EnDesarrollo
[Nombre] UDT_ZC_INF_DOSIFICACION             | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_INF_GESTION                  | [Ruta] 3_EnDesarrollo
[Nombre] UDT_ZC_INF_LIMP_MAQ                 | [Ruta] 4_Pendiente
[Nombre] UDT_ZC_INF_PROD_MEM                 | [Ruta] 4_Pendiente
